MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
01/01/2025 00:00:00 - 01/01/2025 01:00:00,BZN|DK2,Without sequence,2.54,,
01/01/2025 01:00:00 - 01/01/2025 02:00:00,BZN|DK2,Without sequence,1.93,,
01/01/2025 02:00:00 - 01/01/2025 03:00:00,BZN|DK2,Without sequence,1.93,,
01/01/2025 03:00:00 - 01/01/2025 04:00:00,BZN|DK2,Without sequence,1.43,,
01/01/2025 04:00:00 - 01/01/2025 05:00:00,BZN|DK2,Without sequence,1.04,,
01/01/2025 05:00:00 - 01/01/2025 06:00:00,BZN|DK2,Without sequence,2.28,,
01/01/2025 06:00:00 - 01/01/2025 07:00:00,BZN|DK2,Without sequence,1.15,,
01/01/2025 07:00:00 - 01/01/2025 08:00:00,BZN|DK2,Without sequence,1.35,,
01/01/2025 08:00:00 - 01/01/2025 09:00:00,BZN|DK2,Without sequence,2.26,,
01/01/2025 09:00:00 - 01/01/2025 10:00:00,BZN|DK2,Without sequence,2.54,,
01/01/2025 10:00:00 - 01/01/2025 11:00:00,BZN|DK2,Without sequence,3.54,,
01/01/2025 11:00:00 - 01/01/2025 12:00:00,BZN|DK2,Without sequence,3.7,,
01/01/2025 12:00:00 - 01/01/2025 13:00:00,BZN|DK2,Without sequence,3.75,,
01/01/2025 13:00:00 - 01/01/2025 14:00:00,BZN|DK2,Without sequence,3.81,,
01/01/2025 14:00:00 - 01/01/2025 15:00:00,BZN|DK2,Without sequence,5.37,,
01/01/2025 15:00:00 - 01/01/2025 16:00:00,BZN|DK2,Without sequence,12.28,,
01/01/2025 16:00:00 - 01/01/2025 17:00:00,BZN|DK2,Without sequence,19.4,,
01/01/2025 17:00:00 - 01/01/2025 18:00:00,BZN|DK2,Without sequence,21.63,,
01/01/2025 18:00:00 - 01/01/2025 19:00:00,BZN|DK2,Without sequence,17.03,,
01/01/2025 19:00:00 - 01/01/2025 20:00:00,BZN|DK2,Without sequence,10.13,,
01/01/2025 20:00:00 - 01/01/2025 21:00:00,BZN|DK2,Without sequence,8,,
